domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
usastaffing.opm.gov,103789,5290098,8649,50.96973668,3008.532407,103789
local-collections.nlm.nih.gov,1573,130523,786,82.9771138,1366.119517,786
streamstatsags.cr.usgs.gov,1573,91995,6290,58.48378894,1089.19644,4718
etas.uspto.gov,8649,435600,6290,50.36420395,924.6459706,18084
usatrade.census.gov,3145,396286,3931,126.0050874,614.0241653,3931
collectionsqa.nlm.nih.gov,4718,261045,786,55.32958881,474.1350148,6290
sefsc.noaa.gov,2359,172982,1573,73.32852904,129.3247139,3145
