Date,Url,Text
4/2/17,http://m.nationals.mlb.com/player/605452/joe-ross,Washington Nationals optioned RHPJoe Rossto Syracuse Chiefs.
4/3/17,http://m.nationals.mlb.com/player/502578/aaron-barrett,Washington Nationals signed free agent RHPAaron Barrettto a minor league contract.
